NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;FPOE   ;GRUE   ;OEVP   ;NEOS   ;HC     ;LINKS  ;BIER   ;SOEZ   ;VOLT   ;WIFF   ;PRO    ;                                                                                                                                                                                         
AT1;AT13;AT130;90401;4;1;1;4;24;772;241;2;72;9;50;66;23;6;8;4;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90401;4;1;1;4;25;769;247;9;100;13;49;42;20;3;5;6;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90401;4;1;1;4;26;651;226;5;85;6;52;34;28;4;10;2;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90401;4;1;1;4;27;0;7194;39;2448;201;1766;1559;785;87;216;70;11;12;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;0;0;33;5;9;2;6;7;1;2;1;0;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;1;526;193;10;72;12;36;28;21;8;3;3;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;2;680;211;2;86;18;44;29;15;2;14;0;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;3;553;195;3;67;7;46;26;28;9;3;4;1;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;4;608;208;3;83;6;60;21;26;4;4;1;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;5;687;254;4;81;16;72;31;27;4;12;6;0;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;6;666;235;6;98;18;34;44;12;7;10;5;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;7;512;185;4;58;8;43;30;23;6;7;5;0;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;8;686;261;6;111;12;70;22;20;5;10;4;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;9;752;278;4;99;14;66;45;25;5;8;4;8;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;10;587;208;2;66;5;69;26;25;6;5;4;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;11;677;276;2;121;17;66;34;18;4;6;6;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;12;682;282;3;142;16;46;23;19;12;12;2;7;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;13;689;275;4;108;10;52;39;21;8;15;6;11;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;14;704;258;3;88;16;63;37;29;7;6;6;3;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;15;531;180;1;75;13;34;19;13;3;16;4;1;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;16;824;301;8;155;15;49;26;16;10;11;6;5;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;17;877;293;10;106;13;67;46;20;7;17;6;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;18;509;201;0;108;20;26;19;8;3;8;5;4;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;19;892;292;8;124;17;51;47;9;9;14;5;6;2;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;20;281;84;1;52;5;0;18;3;3;0;1;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;21;897;322;4;155;32;25;59;14;13;7;3;10;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;22;873;318;6;129;19;57;46;30;11;11;4;5;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;23;574;239;9;131;12;15;23;12;9;9;5;14;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;24;904;294;13;160;25;19;34;3;16;6;7;11;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;25;899;312;10;125;19;56;38;29;13;9;7;4;2;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;26;514;193;2;80;7;44;29;14;2;10;3;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;27;921;362;31;141;24;62;39;21;14;17;9;3;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90501;4;1;1;5;28;812;291;5;124;6;86;26;17;7;14;4;1;1;0;0;                                                                                                                                                                                         
